book,author,rating_count,page_count,genre,is_volume,author_work_count,author_sex,author_avg_rating,author_rating_count,book_size
beyond the ice limit,douglas preston,7540,375,thriller,yes,100,male,4.01,791166,average
the monster of florence,douglas preston,29610,322,crime-true crime,no,100,male,4.01,791166,average
dinosaurs in the attic: an excursion into the american museum of natural history,douglas preston,844,256,nonfiction,no,100,male,4.01,791166,average
the cabinet of curiosities,douglas preston,40684,629,mystery,yes,100,male,4.01,791166,bulky
relic,douglas preston,90880,480,horror,yes,100,male,4.01,791166,average
brimstone,douglas preston,33920,740,mystery,yes,100,male,4.01,791166,bulky
still life with crows,douglas preston,31326,564,thriller,yes,100,male,4.01,791166,bulky
dance of death,douglas preston,27420,560,thriller,yes,100,male,4.01,791166,bulky
the book of the dead,douglas preston,31121,454,thriller,yes,100,male,4.01,791166,average
cemetery dance,douglas preston,23284,435,mystery,yes,100,male,4.01,791166,average
thunderhead,douglas preston,25697,531,thriller,yes,100,male,4.01,791166,bulky
the wheel of darkness,douglas preston,25369,388,thriller,yes,100,male,4.01,791166,average
black sheep,georgette heyer,9538,252,romance,no,116,female,3.93,368991,average
sylvester,georgette heyer,13473,410,romance,no,116,female,3.93,368991,average
devil's cub,georgette heyer,13092,288,romance,yes,116,female,3.93,368991,average
frederica,georgette heyer,17656,384,romance,no,116,female,3.93,368991,average
bath tangle,georgette heyer,6989,320,romance,no,116,female,3.93,368991,average
sprig muslin,georgette heyer,6693,268,romance,no,116,female,3.93,368991,average
the masqueraders,georgette heyer,7288,416,romance,no,116,female,3.93,368991,average
the corinthian,georgette heyer,10163,233,romance,no,116,female,3.93,368991,average
the foundling,georgette heyer,5514,439,romance,no,116,female,3.93,368991,average
the reluctant widow,georgette heyer,7983,278,romance,no,116,female,3.93,368991,average
the talisman ring,georgette heyer,7332,268,romance,no,116,female,3.93,368991,average
friday's child,georgette heyer,8446,384,romance,no,116,female,3.93,368991,average
faro's daughter,georgette heyer,12216,288,romance,no,116,female,3.93,368991,average
an infamous army,georgette heyer,3664,431,romance,yes,116,female,3.93,368991,average
beauvallet,georgette heyer,3555,272,romance,yes,116,female,3.93,368991,average
simon the coldheart,georgette heyer,1874,303,romance,yes,116,female,3.93,368991,average
april lady,georgette heyer,5519,246,romance,no,116,female,3.93,368991,average
the convenient marriage,georgette heyer,12139,272,romance,no,116,female,3.93,368991,average
the spanish bride,georgette heyer,2446,422,historical-historical fiction,no,116,female,3.93,368991,average
penhallow,georgette heyer,1653,448,mystery,no,116,female,3.93,368991,average
the nonesuch,georgette heyer,9050,304,romance,no,116,female,3.93,368991,average
the quiet gentleman,georgette heyer,7090,416,romance,no,116,female,3.93,368991,average
the toll-gate,georgette heyer,5655,288,romance,no,116,female,3.93,368991,average
regency buck,georgette heyer,8853,368,romance,yes,116,female,3.93,368991,average
these old shades,georgette heyer,15590,352,romance-historical romance,yes,116,female,3.93,368991,average
the grand sophy,georgette heyer,24580,328,romance,no,116,female,3.93,368991,average
arabella,georgette heyer,15666,320,romance,no,116,female,3.93,368991,average
cotillion,georgette heyer,13211,416,romance,no,116,female,3.93,368991,average
venetia,georgette heyer,13702,364,romance,no,116,female,3.93,368991,average
the unknown ajax,georgette heyer,7980,352,romance,no,116,female,3.93,368991,average
a civil contract,georgette heyer,6629,375,romance,no,116,female,3.93,368991,average
joe,larry brown,2722,368,fiction,no,39,male,4.07,15026,average
dirty work,larry brown,1616,247,fiction,no,39,male,4.07,15026,average
the rabbit factory,larry brown,1017,352,fiction,no,39,male,4.07,15026,average
fay,larry brown,2461,489,fiction,no,39,male,4.07,15026,average
father and son,larry brown,2351,347,fiction,no,39,male,4.07,15026,average
facing the music,larry brown,942,167,short stories,no,39,male,4.07,15026,average
a miracle of catfish,larry brown,633,455,fiction,no,39,male,4.07,15026,average
on fire,larry brown,712,182,autobiography-memoir,no,39,male,4.07,15026,average
big bad love,larry brown,2026,228,short stories,no,39,male,4.07,15026,average
winnie the pooh: the house at pooh corner (the complete collection of stories),a.a. milne,640,512,childrens,no,974,male,4.36,524429,average
two people,a.a. milne,226,277,fiction,no,974,male,4.36,524429,average
winnie-the-pooh meets gopher (little golden book),a.a. milne,649,22,childrens,no,974,male,4.36,524429,light
winnie-the-pooh in scots,a.a. milne,29,155,childrens,no,974,male,4.36,524429,light
winnie-the-pooh,a.a. milne,259923,145,classics,yes,974,male,4.36,524429,light
the house at pooh corner,a.a. milne,80013,180,classics,yes,974,male,4.36,524429,average
the world of winnie-the-pooh,a.a. milne,45073,353,classics,yes,974,male,4.36,524429,average
the complete tales and poems of winnie-the-pooh,a.a. milne,42486,557,classics,yes,974,male,4.36,524429,bulky
the aeronaut's windlass,jim butcher,35875,630,fantasy,yes,167,male,4.26,2353365,bulky
welcome to the jungle,jim butcher,15200,168,fantasy,yes,167,male,4.26,2353365,average
wizard at large,jim butcher,1127,740,fantasy,yes,167,male,4.26,2353365,bulky
restoration of faith,jim butcher,4114,12,fantasy-urban fantasy,yes,167,male,4.26,2353365,light
peace talks,jim butcher,1351,352,fantasy,yes,167,male,4.26,2353365,average
battle ground,jim butcher,287,432,fantasy,yes,167,male,4.26,2353365,average
working for bigfoot,jim butcher,7831,136,fantasy,yes,167,male,4.26,2353365,light
brief cases,jim butcher,12753,516,fantasy,yes,167,male,4.26,2353365,average
backup,jim butcher,9187,70,fantasy,yes,167,male,4.26,2353365,light
the dresden files collection 1-6,jim butcher,2619,1900,fantasy,yes,167,male,4.26,2353365,bulky
storm front,jim butcher,276632,384,fantasy,yes,167,male,4.26,2353365,average
furies of calderon,jim butcher,93009,504,fantasy,yes,167,male,4.26,2353365,average
dead beat,jim butcher,102347,517,fantasy,yes,167,male,4.26,2353365,average
summer knight,jim butcher,121252,446,fantasy,yes,167,male,4.26,2353365,average
fool moon,jim butcher,153046,401,fantasy,yes,167,male,4.26,2353365,average
grave peril,jim butcher,131936,378,fantasy,yes,167,male,4.26,2353365,average
changes,jim butcher,97526,438,fantasy-urban fantasy,yes,167,male,4.26,2353365,average
proven guilty,jim butcher,99746,489,fantasy,yes,167,male,4.26,2353365,average
death masks,jim butcher,111560,432,fantasy,yes,167,male,4.26,2353365,average
academ's fury,jim butcher,60070,702,fantasy,yes,167,male,4.26,2353365,bulky
captain's fury,jim butcher,57684,451,fantasy,yes,167,male,4.26,2353365,average
turn coat,jim butcher,85546,420,fantasy,yes,167,male,4.26,2353365,average
first lord's fury,jim butcher,55234,465,fantasy,yes,167,male,4.26,2353365,average
white night,jim butcher,99133,407,fantasy,yes,167,male,4.26,2353365,average
cursor's fury,jim butcher,58105,442,fantasy,yes,167,male,4.26,2353365,average
blood rites,jim butcher,105533,452,fantasy,yes,167,male,4.26,2353365,average
small favor,jim butcher,91476,420,fantasy-urban fantasy,yes,167,male,4.26,2353365,average
cold days,jim butcher,82121,515,fantasy,yes,167,male,4.26,2353365,average
skin game,jim butcher,67690,454,fantasy,yes,167,male,4.26,2353365,average
princeps' fury,jim butcher,56586,386,fantasy,yes,167,male,4.26,2353365,average
ghost story,jim butcher,81399,481,fantasy,yes,167,male,4.26,2353365,average
side jobs,jim butcher,47499,418,fantasy,yes,167,male,4.26,2353365,average
blood memory,greg iles,14948,800,mystery,no,76,male,4.11,262383,bulky
mississippi blood,greg iles,17754,704,fiction,yes,76,male,4.11,262383,bulky
the bone tree,greg iles,19230,804,fiction,yes,76,male,4.11,262383,bulky
natchez burning,greg iles,32831,791,fiction,yes,76,male,4.11,262383,bulky
sleep no more,greg iles,8185,470,mystery,no,76,male,4.11,262383,average
turning angel,greg iles,23320,672,mystery,yes,76,male,4.11,262383,bulky
24 hours,greg iles,10482,448,thriller,no,76,male,4.11,262383,average
true evil,greg iles,17566,512,mystery,no,76,male,4.11,262383,average
dead sleep,greg iles,10260,452,mystery,no,76,male,4.11,262383,average
the devil's punchbowl,greg iles,17318,580,fiction,yes,76,male,4.11,262383,bulky
the death factory,greg iles,4938,112,mystery,yes,76,male,4.11,262383,light
the quiet game,greg iles,29812,580,mystery,yes,76,male,4.11,262383,bulky
black cross,greg iles,10414,556,historical-historical fiction,yes,76,male,4.11,262383,bulky
spilling open: the art of becoming yourself,sabrina ward harrison,4844,176,art,no,6,female,4.07,7081,average
"brave on the rocks: if you don't go, you don't see",sabrina ward harrison,1096,160,art,no,6,female,4.07,7081,average
the true and the questions: a journal,sabrina ward harrison,435,128,art,no,6,female,4.07,7081,light
messy thrilling life: the art of figuring out how to live,sabrina ward harrison,654,160,art,no,6,female,4.07,7081,average
sex at dawn: the prehistoric origins of modern sexuality,christopher ryan,22390,400,nonfiction,no,3,male,4.01,22877,average
omerta,mario puzo,14086,369,fiction,yes,38,male,4.25,397140,average
fools die,mario puzo,5807,574,fiction,no,38,male,4.25,397140,bulky
the godfather,mario puzo,322409,448,fiction,yes,38,male,4.25,397140,average
the last don,mario puzo,15328,498,fiction,yes,38,male,4.25,397140,average
the sicilian,mario puzo,19795,416,fiction,yes,38,male,4.25,397140,average
the family,mario puzo,10764,432,historical-historical fiction,no,38,male,4.25,397140,average
the elvenbane,andre norton,14329,566,fantasy,yes,510,female,3.87,148627,bulky
beast master's planet: omnibus of beast master and lord of thunder,andre norton,320,368,science fiction,yes,510,female,3.87,148627,average
elvenblood,andre norton,9765,352,fantasy,yes,510,female,3.87,148627,average
elvenborn,andre norton,8103,471,fantasy,yes,510,female,3.87,148627,average
year of the unicorn,andre norton,1510,224,fantasy,yes,510,female,3.87,148627,average
lord of thunder,andre norton,630,192,science fiction,yes,510,female,3.87,148627,average
forerunner foray,andre norton,951,286,science fiction,yes,510,female,3.87,148627,average
moscow 1812: napoleon's fatal march,adam zamoyski,1760,704,history,no,20,male,4.1,4851,bulky
a week in winter,maeve binchy,42423,464,fiction,no,175,female,3.88,523901,average
nights of rain and stars,maeve binchy,16865,400,fiction,no,175,female,3.88,523901,average
scarlet feather,maeve binchy,25167,549,fiction,no,175,female,3.88,523901,bulky
firefly summer,maeve binchy,13199,928,fiction,no,175,female,3.88,523901,bulky
the copper beech,maeve binchy,20531,407,fiction,no,175,female,3.88,523901,average
"victoria line, central line",maeve binchy,4186,432,fiction,no,175,female,3.88,523901,average
"this year it will be different, and other stories",maeve binchy,5543,259,fiction,no,175,female,3.88,523901,average
heart and soul,maeve binchy,15101,418,fiction,no,175,female,3.88,523901,average
quentins,maeve binchy,22402,403,fiction,no,175,female,3.88,523901,average
whitethorn woods,maeve binchy,13561,339,fiction,no,175,female,3.88,523901,average
full house,maeve binchy,2769,117,fiction,no,175,female,3.88,523901,light
silver wedding,maeve binchy,9959,400,fiction,no,175,female,3.88,523901,average
tara road,maeve binchy,72041,648,fiction,no,175,female,3.88,523901,bulky
circle of friends,maeve binchy,58071,722,fiction,no,175,female,3.88,523901,bulky
the glass lake,maeve binchy,20625,704,fiction,no,175,female,3.88,523901,bulky
light a penny candle,maeve binchy,17289,832,fiction,no,175,female,3.88,523901,bulky
evening class,maeve binchy,39212,528,fiction,no,175,female,3.88,523901,average
echoes,maeve binchy,11551,496,fiction,no,175,female,3.88,523901,average
seven years to sin,sylvia day,18198,341,romance,no,78,female,4.15,1286030,average
ask for it,sylvia day,7963,320,romance,yes,78,female,4.15,1286030,average
pride and pleasure,sylvia day,7281,352,romance,no,78,female,4.15,1286030,average
bared to you,sylvia day,446649,338,romance,yes,78,female,4.15,1286030,average
aftershock,sylvia day,17627,116,romance,yes,78,female,4.15,1286030,light
don't tempt me,sylvia day,3815,277,romance,yes,78,female,4.15,1286030,average
passion for the game,sylvia day,4736,320,romance-historical romance,yes,78,female,4.15,1286030,average
a passion for him,sylvia day,4650,258,romance,yes,78,female,4.15,1286030,average
afterburn,sylvia day,23631,99,romance,yes,78,female,4.15,1286030,light
pleasures of the night,sylvia day,8457,304,romance,yes,78,female,4.15,1286030,average
a touch of crimson,sylvia day,9081,344,romance-paranormal romance,yes,78,female,4.15,1286030,average
a dark kiss of rapture,sylvia day,11183,72,fantasy-paranormal,yes,78,female,4.15,1286030,light
bad boys ahoy!,sylvia day,2835,352,romance-historical romance,no,78,female,4.15,1286030,average
bared to you,sylvia day,445904,334,romance,yes,78,female,4.15,1286030,average
reflected in you,sylvia day,306540,338,romance,yes,78,female,4.15,1286030,average
entwined with you,sylvia day,176064,356,romance,yes,78,female,4.15,1286030,average
captivated by you,sylvia day,88210,356,romance,yes,78,female,4.15,1286030,average
one with you,sylvia day,54501,464,romance,yes,78,female,4.15,1286030,average
the stranger i married,sylvia day,13295,312,romance-historical romance,no,78,female,4.15,1286030,average
"all my love, detrick",roberta kagan,3400,612,historical-historical fiction,yes,38,female,4.12,19104,bulky
you are my sunshine,roberta kagan,3880,436,historical-historical fiction,yes,38,female,4.12,19104,average
the voyage,roberta kagan,1245,372,historical-historical fiction,no,38,female,4.12,19104,average
a flicker of light,roberta kagan,1383,396,historical-historical fiction,no,38,female,4.12,19104,average
cycle of the werewolf,stephen king,46739,128,horror,no,1653,male,4.04,13815580,light
"the dark tower series: the gunslinger, the drawing of the three, the waste lands",stephen king,7778,1008,fantasy,yes,1653,male,4.04,13815580,bulky
end of watch,stephen king,82889,432,horror,yes,1653,male,4.04,13815580,average
apt pupil,stephen king,24154,179,horror,no,1653,male,4.04,13815580,average
the bazaar of bad dreams,stephen king,45478,495,horror,no,1653,male,4.04,13815580,average
ur,stephen king,17129,61,horror,no,1653,male,4.04,13815580,light
just after sunset,stephen king,46056,539,horror,no,1653,male,4.04,13815580,bulky
four past midnight,stephen king,95972,930,horror,no,1653,male,4.04,13815580,bulky
elevation,stephen king,74588,146,fiction,no,1653,male,4.04,13815580,light
la tienda,stephen king,202382,954,horror,no,1653,male,4.04,13815580,bulky
nightmares and dreamscapes,stephen king,72060,864,horror,no,1653,male,4.04,13815580,bulky
le flã©au 1/3,stephen king,216,510,science fiction,yes,1653,male,4.04,13815580,average
the dead zone/cujo,stephen king,507,812,horror,no,1653,male,4.04,13815580,bulky
"two past midnight: secret window, secret garden",stephen king,8781,140,horror,no,1653,male,4.04,13815580,light
î¤î¿ îïïï-î¤ïî¼î¿ï î,stephen king,1499,1008,horror,yes,1653,male,4.04,13815580,bulky
î¤î¿ îïïï-î¤ïî¼î¿ï îî,stephen king,1087,752,horror,yes,1653,male,4.04,13815580,bulky
desperation / the regulators: box set,stephen king,3360,1075,horror,no,1653,male,4.04,13815580,bulky
from a buick 8,stephen king,58547,356,horror,no,1653,male,4.04,13815580,average
the mouse on the mile,stephen king,14914,92,horror,yes,1653,male,4.04,13815580,light
coffey's hands,stephen king,15517,90,horror,yes,1653,male,4.04,13815580,light
the bad death of eduard delacroix,stephen king,15628,90,horror,yes,1653,male,4.04,13815580,light
night journey,stephen king,14124,90,horror,yes,1653,male,4.04,13815580,light
"the green mile, part 6: coffey on the mile",stephen king,15053,144,horror,yes,1653,male,4.04,13815580,light
le flã©au 1/2,stephen king,568,764,horror,yes,1653,male,4.04,13815580,bulky
the colorado kid,stephen king,31685,178,mystery,no,1653,male,4.04,13815580,average
gece yarä±sä±nä± dã¶rt geã§e,stephen king,492,333,horror,no,1653,male,4.04,13815580,average
storm of the century,stephen king,20129,376,horror,no,1653,male,4.04,13815580,average
the stand,stephen king,595336,1153,horror,no,1653,male,4.04,13815580,bulky
the shining,stephen king,1085354,659,horror,yes,1653,male,4.04,13815580,bulky
it,stephen king,769325,1116,horror,no,1653,male,4.04,13815580,bulky
the green mile,stephen king,241322,592,horror,yes,1653,male,4.04,13815580,bulky
misery,stephen king,477662,370,horror,no,1653,male,4.04,13815580,average
different seasons,stephen king,169613,560,horror,no,1653,male,4.04,13815580,bulky
the gunslinger,stephen king,498540,231,fantasy,yes,1653,male,4.04,13815580,average
the wind through the keyhole,stephen king,64505,322,fantasy,yes,1653,male,4.04,13815580,average
'salem's lot,stephen king,321578,483,horror,no,1653,male,4.04,13815580,average
11/22/63,stephen king,405105,849,fiction,no,1653,male,4.04,13815580,bulky
carrie,stephen king,499980,253,horror,no,1653,male,4.04,13815580,average
pet sematary,stephen king,406867,580,horror,no,1653,male,4.04,13815580,bulky
the talisman,stephen king,105796,656,horror,yes,1653,male,4.04,13815580,bulky
under the dome,stephen king,250767,1074,horror,no,1653,male,4.04,13815580,bulky
on writing: a memoir of the craft,stephen king,213398,320,nonfiction,no,1653,male,4.04,13815580,average
the dark tower,stephen king,138059,1050,fantasy,yes,1653,male,4.04,13815580,bulky
wizard and glass,stephen king,158692,845,fantasy,yes,1653,male,4.04,13815580,bulky
the drawing of the three,stephen king,208470,463,fantasy,yes,1653,male,4.04,13815580,average
hearts in atlantis,stephen king,82550,640,horror,no,1653,male,4.04,13815580,bulky
needful things,stephen king,201718,790,horror,no,1653,male,4.04,13815580,bulky
the dead zone,stephen king,172740,402,horror,no,1653,male,4.04,13815580,average
cujo,stephen king,218770,432,horror,no,1653,male,4.04,13815580,average
doctor sleep,stephen king,183951,531,horror,yes,1653,male,4.04,13815580,bulky
the waste lands,stephen king,178248,422,fantasy,yes,1653,male,4.04,13815580,average
dolores claiborne,stephen king,122451,384,horror,no,1653,male,4.04,13815580,average
the eyes of the dragon,stephen king,100560,427,fantasy,no,1653,male,4.04,13815580,average
insomnia,stephen king,132080,890,horror,no,1653,male,4.04,13815580,bulky
christine,stephen king,194036,411,horror,no,1653,male,4.04,13815580,average
lisey's story,stephen king,66468,513,horror,no,1653,male,4.04,13815580,average
the girl who loved tom gordon,stephen king,126597,264,horror,no,1653,male,4.04,13815580,average
bag of bones,stephen king,168748,736,horror,no,1653,male,4.04,13815580,bulky
duma key,stephen king,98181,611,horror,no,1653,male,4.04,13815580,bulky
wolves of the calla,stephen king,150082,931,fantasy,yes,1653,male,4.04,13815580,bulky
dreamcatcher,stephen king,148142,688,horror,no,1653,male,4.04,13815580,bulky
firestarter,stephen king,183120,403,horror,no,1653,male,4.04,13815580,average
the body,stephen king,31133,80,horror,no,1653,male,4.04,13815580,light
mr. mercedes,stephen king,226288,437,fiction,yes,1653,male,4.04,13815580,average
"the dark tower series collection: the gunslinger, the drawing of the three, the waste lands, wizard and glass, wolves of the calla, song of susannah, the dark tower",stephen king,9738,3914,fantasy,yes,1653,male,4.04,13815580,bulky
cell,stephen king,187002,449,horror,no,1653,male,4.04,13815580,average
song of susannah,stephen king,126786,544,fantasy,yes,1653,male,4.04,13815580,bulky
desperation,stephen king,118658,547,horror,no,1653,male,4.04,13815580,bulky
the outsider,stephen king,168230,561,horror,no,1653,male,4.04,13815580,bulky
the dark half,stephen king,120696,469,horror,no,1653,male,4.04,13815580,average
rose madder,stephen king,93418,595,horror,no,1653,male,4.04,13815580,bulky
sleeping beauties,stephen king,58956,702,horror,no,1653,male,4.04,13815580,bulky
black house,stephen king,53033,688,horror,yes,1653,male,4.04,13815580,bulky
skeleton crew,stephen king,106790,612,horror,no,1653,male,4.04,13815580,bulky
'salem's lot,stephen king,93032,594,horror,no,1653,male,4.04,13815580,bulky
everything's eventual,stephen king,86948,605,horror,no,1653,male,4.04,13815580,bulky
joyland,stephen king,109545,283,horror,no,1653,male,4.04,13815580,average
night shift,stephen king,143183,409,horror,no,1653,male,4.04,13815580,average
"full dark, no stars",stephen king,88899,368,horror,no,1653,male,4.04,13815580,average
revival,stephen king,95529,405,horror,no,1653,male,4.04,13815580,average
gerald's game,stephen king,129979,332,horror,no,1653,male,4.04,13815580,average
finders keepers,stephen king,105192,434,fiction,yes,1653,male,4.04,13815580,average
the mist,stephen king,110150,230,horror,no,1653,male,4.04,13815580,average
danse macabre,stephen king,24377,400,horror,no,1653,male,4.04,13815580,average
rita hayworth and shawshank redemption: a story from different seasons,stephen king,20778,181,fiction,no,1653,male,4.04,13815580,average
the tommyknockers,stephen king,122491,747,horror,no,1653,male,4.04,13815580,bulky
the gingerbread girl,stephen king,4708,72,horror,no,1653,male,4.04,13815580,light
the institute,stephen king,105189,561,horror,no,1653,male,4.04,13815580,bulky
carrie / 'salem's lot / the shining,stephen king,13872,1096,horror,no,1653,male,4.04,13815580,bulky
"the green mile, part 1: the two dead girls",stephen king,31407,92,horror,yes,1653,male,4.04,13815580,light
darkness,laurann dohner,10256,271,fantasy-paranormal,yes,74,female,4.15,377702,average
ral's woman,laurann dohner,12134,112,science fiction,yes,74,female,4.15,377702,light
his purrfect mate,laurann dohner,9492,150,fantasy-paranormal,yes,74,female,4.15,377702,light
true,laurann dohner,11334,258,fantasy-paranormal,yes,74,female,4.15,377702,average
numbers,laurann dohner,7660,346,fantasy-paranormal,yes,74,female,4.15,377702,average
smiley,laurann dohner,9889,303,fantasy-paranormal,yes,74,female,4.15,377702,average
berrr's vow,laurann dohner,7086,147,science fiction,yes,74,female,4.15,377702,light
burning up flint,laurann dohner,9067,196,science fiction,yes,74,female,4.15,377702,average
tempting rever,laurann dohner,6435,119,romance,yes,74,female,4.15,377702,light
kidnapping casey,laurann dohner,7700,130,science fiction-aliens,yes,74,female,4.15,377702,light
taunting krell,laurann dohner,6223,152,science fiction,yes,74,female,4.15,377702,light
redeeming zorus,laurann dohner,6638,129,science fiction,yes,74,female,4.15,377702,light
stealing coal,laurann dohner,6445,167,science fiction,yes,74,female,4.15,377702,average
