,book,author,rating_count,page_count,genre,is_volume,author_work_count,author_sex,author_avg_rating,author_rating_count
56,hannah's hope,karen kingsbury,2253,162,christian fiction,yes,140,female,4.33,508728
57,maggie's miracle,karen kingsbury,2431,167,christian fiction,yes,140,female,4.33,508728
58,sarah's song,karen kingsbury,2133,156,christian fiction,yes,140,female,4.33,508728
59,let me hold you longer,karen kingsbury,997,32,childrens-picture books,no,140,female,4.33,508728
60,the red gloves collection,karen kingsbury,1066,640,christian fiction,yes,140,female,4.33,508728
61,a time to dance / a time to embrace,karen kingsbury,973,656,christian fiction,yes,140,female,4.33,508728
62,the princess and the three knights,karen kingsbury,317,32,childrens-picture books,no,140,female,4.33,508728
63,beyond tuesday morning,karen kingsbury,9216,320,christian fiction,yes,140,female,4.33,508728
64,reunion,karen kingsbury,13409,400,christian fiction,yes,140,female,4.33,508728
65,remember,karen kingsbury,19763,432,christian fiction,yes,140,female,4.33,508728
66,one tuesday morning,karen kingsbury,17620,352,christian,yes,140,female,4.33,508728
67,ever after,karen kingsbury,11245,337,christian fiction,yes,140,female,4.33,508728
68,forgiven,karen kingsbury,10569,358,christian fiction,yes,140,female,4.33,508728
69,family,karen kingsbury,9019,345,christian fiction,yes,140,female,4.33,508728
70,every now & then,karen kingsbury,5018,311,christian fiction,yes,140,female,4.33,508728
71,found,karen kingsbury,9617,342,christian fiction,yes,140,female,4.33,508728
72,fame,karen kingsbury,13283,354,christian fiction,yes,140,female,4.33,508728
73,oceans apart,karen kingsbury,9401,350,christian fiction,no,140,female,4.33,508728
74,even now,karen kingsbury,21352,333,christian fiction,yes,140,female,4.33,508728
75,someday,karen kingsbury,6928,323,christian fiction,yes,140,female,4.33,508728
76,a time to dance,karen kingsbury,7013,528,christian fiction,yes,140,female,4.33,508728
77,sunset,karen kingsbury,6789,315,christian fiction,yes,140,female,4.33,508728
78,take one,karen kingsbury,7869,352,christian fiction,yes,140,female,4.33,508728
79,when joy came to stay,karen kingsbury,3577,400,christian fiction,no,140,female,4.33,508728
80,reliquary,douglas preston,38382,464,thriller,yes,100,male,4.01,791166
81,cold vengeance,douglas preston,21711,457,thriller,yes,100,male,4.01,791166
82,white fire,douglas preston,21602,368,mystery,yes,100,male,4.01,791166
83,blasphemy,douglas preston,8939,381,thriller,yes,100,male,4.01,791166
84,blue labyrinth,douglas preston,18214,416,mystery,yes,100,male,4.01,791166
85,the codex,douglas preston,18349,404,thriller,no,100,male,4.01,791166
86,beyond the ice limit,douglas preston,7540,375,thriller,yes,100,male,4.01,791166
87,the monster of florence,douglas preston,29610,322,crime-true crime,no,100,male,4.01,791166
88,dinosaurs in the attic: an excursion into the american museum of natural history,douglas preston,844,256,nonfiction,no,100,male,4.01,791166
89,the cabinet of curiosities,douglas preston,40684,629,mystery,yes,100,male,4.01,791166
90,relic,douglas preston,90880,480,horror,yes,100,male,4.01,791166
91,brimstone,douglas preston,33920,740,mystery,yes,100,male,4.01,791166
92,still life with crows,douglas preston,31326,564,thriller,yes,100,male,4.01,791166
93,dance of death,douglas preston,27420,560,thriller,yes,100,male,4.01,791166
94,the book of the dead,douglas preston,31121,454,thriller,yes,100,male,4.01,791166
95,cemetery dance,douglas preston,23284,435,mystery,yes,100,male,4.01,791166
96,thunderhead,douglas preston,25697,531,thriller,yes,100,male,4.01,791166
97,the wheel of darkness,douglas preston,25369,388,thriller,yes,100,male,4.01,791166
98,black sheep,georgette heyer,9538,252,romance,no,116,female,3.93,368991
99,sylvester,georgette heyer,13473,410,romance,no,116,female,3.93,368991
100,devil's cub,georgette heyer,13092,288,romance,yes,116,female,3.93,368991
101,frederica,georgette heyer,17656,384,romance,no,116,female,3.93,368991
102,bath tangle,georgette heyer,6989,320,romance,no,116,female,3.93,368991
103,sprig muslin,georgette heyer,6693,268,romance,no,116,female,3.93,368991
104,the masqueraders,georgette heyer,7288,416,romance,no,116,female,3.93,368991
105,the corinthian,georgette heyer,10163,233,romance,no,116,female,3.93,368991
106,the foundling,georgette heyer,5514,439,romance,no,116,female,3.93,368991
107,the reluctant widow,georgette heyer,7983,278,romance,no,116,female,3.93,368991
108,the talisman ring,georgette heyer,7332,268,romance,no,116,female,3.93,368991
109,friday's child,georgette heyer,8446,384,romance,no,116,female,3.93,368991
110,faro's daughter,georgette heyer,12216,288,romance,no,116,female,3.93,368991
111,an infamous army,georgette heyer,3664,431,romance,yes,116,female,3.93,368991
112,beauvallet,georgette heyer,3555,272,romance,yes,116,female,3.93,368991
113,simon the coldheart,georgette heyer,1874,303,romance,yes,116,female,3.93,368991
114,april lady,georgette heyer,5519,246,romance,no,116,female,3.93,368991
115,the convenient marriage,georgette heyer,12139,272,romance,no,116,female,3.93,368991
116,the spanish bride,georgette heyer,2446,422,historical-historical fiction,no,116,female,3.93,368991
117,penhallow,georgette heyer,1653,448,mystery,no,116,female,3.93,368991
118,the nonesuch,georgette heyer,9050,304,romance,no,116,female,3.93,368991
119,the quiet gentleman,georgette heyer,7090,416,romance,no,116,female,3.93,368991
120,the toll-gate,georgette heyer,5655,288,romance,no,116,female,3.93,368991
121,regency buck,georgette heyer,8853,368,romance,yes,116,female,3.93,368991
122,these old shades,georgette heyer,15590,352,romance-historical romance,yes,116,female,3.93,368991
123,the grand sophy,georgette heyer,24580,328,romance,no,116,female,3.93,368991
124,arabella,georgette heyer,15666,320,romance,no,116,female,3.93,368991
125,cotillion,georgette heyer,13211,416,romance,no,116,female,3.93,368991
126,venetia,georgette heyer,13702,364,romance,no,116,female,3.93,368991
127,the unknown ajax,georgette heyer,7980,352,romance,no,116,female,3.93,368991
128,a civil contract,georgette heyer,6629,375,romance,no,116,female,3.93,368991
129,joe,larry brown,2722,368,fiction,no,39,male,4.07,15026
130,dirty work,larry brown,1616,247,fiction,no,39,male,4.07,15026
131,the rabbit factory,larry brown,1017,352,fiction,no,39,male,4.07,15026
132,fay,larry brown,2461,489,fiction,no,39,male,4.07,15026
133,father and son,larry brown,2351,347,fiction,no,39,male,4.07,15026
134,facing the music,larry brown,942,167,short stories,no,39,male,4.07,15026
135,a miracle of catfish,larry brown,633,455,fiction,no,39,male,4.07,15026
136,on fire,larry brown,712,182,autobiography-memoir,no,39,male,4.07,15026
137,big bad love,larry brown,2026,228,short stories,no,39,male,4.07,15026
139,winnie the pooh: the house at pooh corner (the complete collection of stories),a.a. milne,640,512,childrens,no,974,male,4.36,524429
140,two people,a.a. milne,226,277,fiction,no,974,male,4.36,524429
141,winnie-the-pooh meets gopher (little golden book),a.a. milne,649,22,childrens,no,974,male,4.36,524429
142,winnie-the-pooh in scots,a.a. milne,29,155,childrens,no,974,male,4.36,524429
143,winnie-the-pooh,a.a. milne,259923,145,classics,yes,974,male,4.36,524429
144,the house at pooh corner,a.a. milne,80013,180,classics,yes,974,male,4.36,524429
145,the world of winnie-the-pooh,a.a. milne,45073,353,classics,yes,974,male,4.36,524429
146,the complete tales and poems of winnie-the-pooh,a.a. milne,42486,557,classics,yes,974,male,4.36,524429
148,the aeronaut's windlass,jim butcher,35875,630,fantasy,yes,167,male,4.26,2353365
149,welcome to the jungle,jim butcher,15200,168,fantasy,yes,167,male,4.26,2353365
151,wizard at large,jim butcher,1127,740,fantasy,yes,167,male,4.26,2353365
153,restoration of faith,jim butcher,4114,12,fantasy-urban fantasy,yes,167,male,4.26,2353365
154,peace talks,jim butcher,1351,352,fantasy,yes,167,male,4.26,2353365
155,battle ground,jim butcher,287,432,fantasy,yes,167,male,4.26,2353365
156,working for bigfoot,jim butcher,7831,136,fantasy,yes,167,male,4.26,2353365
157,brief cases,jim butcher,12753,516,fantasy,yes,167,male,4.26,2353365
159,backup,jim butcher,9187,70,fantasy,yes,167,male,4.26,2353365
160,the dresden files collection 1-6,jim butcher,2619,1900,fantasy,yes,167,male,4.26,2353365
161,storm front,jim butcher,276632,384,fantasy,yes,167,male,4.26,2353365
162,furies of calderon,jim butcher,93009,504,fantasy,yes,167,male,4.26,2353365
163,dead beat,jim butcher,102347,517,fantasy,yes,167,male,4.26,2353365
164,summer knight,jim butcher,121252,446,fantasy,yes,167,male,4.26,2353365
165,fool moon,jim butcher,153046,401,fantasy,yes,167,male,4.26,2353365
166,grave peril,jim butcher,131936,378,fantasy,yes,167,male,4.26,2353365
167,changes,jim butcher,97526,438,fantasy-urban fantasy,yes,167,male,4.26,2353365
168,proven guilty,jim butcher,99746,489,fantasy,yes,167,male,4.26,2353365
169,death masks,jim butcher,111560,432,fantasy,yes,167,male,4.26,2353365
170,academ's fury,jim butcher,60070,702,fantasy,yes,167,male,4.26,2353365
171,captain's fury,jim butcher,57684,451,fantasy,yes,167,male,4.26,2353365
172,turn coat,jim butcher,85546,420,fantasy,yes,167,male,4.26,2353365
173,first lord's fury,jim butcher,55234,465,fantasy,yes,167,male,4.26,2353365
174,white night,jim butcher,99133,407,fantasy,yes,167,male,4.26,2353365
175,cursor's fury,jim butcher,58105,442,fantasy,yes,167,male,4.26,2353365
176,blood rites,jim butcher,105533,452,fantasy,yes,167,male,4.26,2353365
177,small favor,jim butcher,91476,420,fantasy-urban fantasy,yes,167,male,4.26,2353365
178,cold days,jim butcher,82121,515,fantasy,yes,167,male,4.26,2353365
179,skin game,jim butcher,67690,454,fantasy,yes,167,male,4.26,2353365
180,princeps' fury,jim butcher,56586,386,fantasy,yes,167,male,4.26,2353365
181,ghost story,jim butcher,81399,481,fantasy,yes,167,male,4.26,2353365
182,side jobs,jim butcher,47499,418,fantasy,yes,167,male,4.26,2353365
183,blood memory,greg iles,14948,800,mystery,no,76,male,4.11,262383
184,mississippi blood,greg iles,17754,704,fiction,yes,76,male,4.11,262383
185,the bone tree,greg iles,19230,804,fiction,yes,76,male,4.11,262383
186,natchez burning,greg iles,32831,791,fiction,yes,76,male,4.11,262383
187,sleep no more,greg iles,8185,470,mystery,no,76,male,4.11,262383
188,turning angel,greg iles,23320,672,mystery,yes,76,male,4.11,262383
189,24 hours,greg iles,10482,448,thriller,no,76,male,4.11,262383
190,true evil,greg iles,17566,512,mystery,no,76,male,4.11,262383
191,dead sleep,greg iles,10260,452,mystery,no,76,male,4.11,262383
192,the devil's punchbowl,greg iles,17318,580,fiction,yes,76,male,4.11,262383
193,the death factory,greg iles,4938,112,mystery,yes,76,male,4.11,262383
194,the quiet game,greg iles,29812,580,mystery,yes,76,male,4.11,262383
195,black cross,greg iles,10414,556,historical-historical fiction,yes,76,male,4.11,262383
196,spilling open: the art of becoming yourself,sabrina ward harrison,4844,176,art,no,6,female,4.07,7081
197,"brave on the rocks: if you don't go, you don't see",sabrina ward harrison,1096,160,art,no,6,female,4.07,7081
198,the true and the questions: a journal,sabrina ward harrison,435,128,art,no,6,female,4.07,7081
199,messy thrilling life: the art of figuring out how to live,sabrina ward harrison,654,160,art,no,6,female,4.07,7081
200,sex at dawn: the prehistoric origins of modern sexuality,christopher ryan,22390,400,nonfiction,no,3,male,4.01,22877
201,omerta,mario puzo,14086,369,fiction,yes,38,male,4.25,397140
202,fools die,mario puzo,5807,574,fiction,no,38,male,4.25,397140
203,the godfather,mario puzo,322409,448,fiction,yes,38,male,4.25,397140
204,the last don,mario puzo,15328,498,fiction,yes,38,male,4.25,397140
205,the sicilian,mario puzo,19795,416,fiction,yes,38,male,4.25,397140
206,the family,mario puzo,10764,432,historical-historical fiction,no,38,male,4.25,397140
207,the elvenbane,andre norton,14329,566,fantasy,yes,510,female,3.87,148627
208,beast master's planet: omnibus of beast master and lord of thunder,andre norton,320,368,science fiction,yes,510,female,3.87,148627
209,elvenblood,andre norton,9765,352,fantasy,yes,510,female,3.87,148627
210,elvenborn,andre norton,8103,471,fantasy,yes,510,female,3.87,148627
211,year of the unicorn,andre norton,1510,224,fantasy,yes,510,female,3.87,148627
212,lord of thunder,andre norton,630,192,science fiction,yes,510,female,3.87,148627
213,forerunner foray,andre norton,951,286,science fiction,yes,510,female,3.87,148627
214,moscow 1812: napoleon's fatal march,adam zamoyski,1760,704,history,no,20,male,4.1,4851
215,a week in winter,maeve binchy,42423,464,fiction,no,175,female,3.88,523901
216,nights of rain and stars,maeve binchy,16865,400,fiction,no,175,female,3.88,523901
217,scarlet feather,maeve binchy,25167,549,fiction,no,175,female,3.88,523901
218,firefly summer,maeve binchy,13199,928,fiction,no,175,female,3.88,523901
219,the copper beech,maeve binchy,20531,407,fiction,no,175,female,3.88,523901
220,"victoria line, central line",maeve binchy,4186,432,fiction,no,175,female,3.88,523901
221,"this year it will be different, and other stories",maeve binchy,5543,259,fiction,no,175,female,3.88,523901
222,heart and soul,maeve binchy,15101,418,fiction,no,175,female,3.88,523901
223,quentins,maeve binchy,22402,403,fiction,no,175,female,3.88,523901
224,whitethorn woods,maeve binchy,13561,339,fiction,no,175,female,3.88,523901
225,full house,maeve binchy,2769,117,fiction,no,175,female,3.88,523901
226,silver wedding,maeve binchy,9959,400,fiction,no,175,female,3.88,523901
227,tara road,maeve binchy,72041,648,fiction,no,175,female,3.88,523901
228,circle of friends,maeve binchy,58071,722,fiction,no,175,female,3.88,523901
229,the glass lake,maeve binchy,20625,704,fiction,no,175,female,3.88,523901
230,light a penny candle,maeve binchy,17289,832,fiction,no,175,female,3.88,523901
231,evening class,maeve binchy,39212,528,fiction,no,175,female,3.88,523901
232,echoes,maeve binchy,11551,496,fiction,no,175,female,3.88,523901
233,seven years to sin,sylvia day,18198,341,romance,no,78,female,4.15,1286030
234,ask for it,sylvia day,7963,320,romance,yes,78,female,4.15,1286030
235,pride and pleasure,sylvia day,7281,352,romance,no,78,female,4.15,1286030
236,bared to you,sylvia day,446649,338,romance,yes,78,female,4.15,1286030
237,aftershock,sylvia day,17627,116,romance,yes,78,female,4.15,1286030
238,don't tempt me,sylvia day,3815,277,romance,yes,78,female,4.15,1286030
239,passion for the game,sylvia day,4736,320,romance-historical romance,yes,78,female,4.15,1286030
240,a passion for him,sylvia day,4650,258,romance,yes,78,female,4.15,1286030
241,afterburn,sylvia day,23631,99,romance,yes,78,female,4.15,1286030
242,pleasures of the night,sylvia day,8457,304,romance,yes,78,female,4.15,1286030
243,a touch of crimson,sylvia day,9081,344,romance-paranormal romance,yes,78,female,4.15,1286030
244,a dark kiss of rapture,sylvia day,11183,72,fantasy-paranormal,yes,78,female,4.15,1286030
245,bad boys ahoy!,sylvia day,2835,352,romance-historical romance,no,78,female,4.15,1286030
246,bared to you,sylvia day,445904,334,romance,yes,78,female,4.15,1286030
247,reflected in you,sylvia day,306540,338,romance,yes,78,female,4.15,1286030
248,entwined with you,sylvia day,176064,356,romance,yes,78,female,4.15,1286030
249,captivated by you,sylvia day,88210,356,romance,yes,78,female,4.15,1286030
250,one with you,sylvia day,54501,464,romance,yes,78,female,4.15,1286030
251,the stranger i married,sylvia day,13295,312,romance-historical romance,no,78,female,4.15,1286030
252,"all my love, detrick",roberta kagan,3400,612,historical-historical fiction,yes,38,female,4.12,19104
253,you are my sunshine,roberta kagan,3880,436,historical-historical fiction,yes,38,female,4.12,19104
254,the voyage,roberta kagan,1245,372,historical-historical fiction,no,38,female,4.12,19104
255,a flicker of light,roberta kagan,1383,396,historical-historical fiction,no,38,female,4.12,19104
256,cycle of the werewolf,stephen king,46739,128,horror,no,1653,male,4.04,13815580
257,"the dark tower series: the gunslinger, the drawing of the three, the waste lands",stephen king,7778,1008,fantasy,yes,1653,male,4.04,13815580
258,end of watch,stephen king,82889,432,horror,yes,1653,male,4.04,13815580
259,apt pupil,stephen king,24154,179,horror,no,1653,male,4.04,13815580
260,the bazaar of bad dreams,stephen king,45478,495,horror,no,1653,male,4.04,13815580
261,ur,stephen king,17129,61,horror,no,1653,male,4.04,13815580
262,just after sunset,stephen king,46056,539,horror,no,1653,male,4.04,13815580
263,four past midnight,stephen king,95972,930,horror,no,1653,male,4.04,13815580
266,elevation,stephen king,74588,146,fiction,no,1653,male,4.04,13815580
267,la tienda,stephen king,202382,954,horror,no,1653,male,4.04,13815580
268,nightmares and dreamscapes,stephen king,72060,864,horror,no,1653,male,4.04,13815580
269,le flã©au 1/3,stephen king,216,510,science fiction,yes,1653,male,4.04,13815580
270,the dead zone/cujo,stephen king,507,812,horror,no,1653,male,4.04,13815580
271,"two past midnight: secret window, secret garden",stephen king,8781,140,horror,no,1653,male,4.04,13815580
272,î¤î¿ îïïï-î¤ïî¼î¿ï î,stephen king,1499,1008,horror,yes,1653,male,4.04,13815580
273,î¤î¿ îïïï-î¤ïî¼î¿ï îî,stephen king,1087,752,horror,yes,1653,male,4.04,13815580
274,desperation / the regulators: box set,stephen king,3360,1075,horror,no,1653,male,4.04,13815580
275,from a buick 8,stephen king,58547,356,horror,no,1653,male,4.04,13815580
276,the mouse on the mile,stephen king,14914,92,horror,yes,1653,male,4.04,13815580
277,coffey's hands,stephen king,15517,90,horror,yes,1653,male,4.04,13815580
278,the bad death of eduard delacroix,stephen king,15628,90,horror,yes,1653,male,4.04,13815580
279,night journey,stephen king,14124,90,horror,yes,1653,male,4.04,13815580
280,"the green mile, part 6: coffey on the mile",stephen king,15053,144,horror,yes,1653,male,4.04,13815580
281,le flã©au 1/2,stephen king,568,764,horror,yes,1653,male,4.04,13815580
282,the colorado kid,stephen king,31685,178,mystery,no,1653,male,4.04,13815580
283,gece yarä±sä±nä± dã¶rt geã§e,stephen king,492,333,horror,no,1653,male,4.04,13815580
284,storm of the century,stephen king,20129,376,horror,no,1653,male,4.04,13815580
285,the stand,stephen king,595336,1153,horror,no,1653,male,4.04,13815580
286,the shining,stephen king,1085354,659,horror,yes,1653,male,4.04,13815580
287,it,stephen king,769325,1116,horror,no,1653,male,4.04,13815580
288,the green mile,stephen king,241322,592,horror,yes,1653,male,4.04,13815580
289,misery,stephen king,477662,370,horror,no,1653,male,4.04,13815580
290,different seasons,stephen king,169613,560,horror,no,1653,male,4.04,13815580
291,the gunslinger,stephen king,498540,231,fantasy,yes,1653,male,4.04,13815580
292,the wind through the keyhole,stephen king,64505,322,fantasy,yes,1653,male,4.04,13815580
293,'salem's lot,stephen king,321578,483,horror,no,1653,male,4.04,13815580
294,11/22/63,stephen king,405105,849,fiction,no,1653,male,4.04,13815580
295,carrie,stephen king,499980,253,horror,no,1653,male,4.04,13815580
296,pet sematary,stephen king,406867,580,horror,no,1653,male,4.04,13815580
297,the talisman,stephen king,105796,656,horror,yes,1653,male,4.04,13815580
298,under the dome,stephen king,250767,1074,horror,no,1653,male,4.04,13815580
299,on writing: a memoir of the craft,stephen king,213398,320,nonfiction,no,1653,male,4.04,13815580
300,the dark tower,stephen king,138059,1050,fantasy,yes,1653,male,4.04,13815580
301,wizard and glass,stephen king,158692,845,fantasy,yes,1653,male,4.04,13815580
302,the drawing of the three,stephen king,208470,463,fantasy,yes,1653,male,4.04,13815580
303,hearts in atlantis,stephen king,82550,640,horror,no,1653,male,4.04,13815580
304,needful things,stephen king,201718,790,horror,no,1653,male,4.04,13815580
305,the dead zone,stephen king,172740,402,horror,no,1653,male,4.04,13815580
306,cujo,stephen king,218770,432,horror,no,1653,male,4.04,13815580
307,doctor sleep,stephen king,183951,531,horror,yes,1653,male,4.04,13815580
308,the waste lands,stephen king,178248,422,fantasy,yes,1653,male,4.04,13815580
309,dolores claiborne,stephen king,122451,384,horror,no,1653,male,4.04,13815580
310,the eyes of the dragon,stephen king,100560,427,fantasy,no,1653,male,4.04,13815580
311,insomnia,stephen king,132080,890,horror,no,1653,male,4.04,13815580
312,christine,stephen king,194036,411,horror,no,1653,male,4.04,13815580
313,lisey's story,stephen king,66468,513,horror,no,1653,male,4.04,13815580
314,the girl who loved tom gordon,stephen king,126597,264,horror,no,1653,male,4.04,13815580
315,bag of bones,stephen king,168748,736,horror,no,1653,male,4.04,13815580
316,duma key,stephen king,98181,611,horror,no,1653,male,4.04,13815580
317,wolves of the calla,stephen king,150082,931,fantasy,yes,1653,male,4.04,13815580
318,dreamcatcher,stephen king,148142,688,horror,no,1653,male,4.04,13815580
319,firestarter,stephen king,183120,403,horror,no,1653,male,4.04,13815580
320,the body,stephen king,31133,80,horror,no,1653,male,4.04,13815580
321,mr. mercedes,stephen king,226288,437,fiction,yes,1653,male,4.04,13815580
322,"the dark tower series collection: the gunslinger, the drawing of the three, the waste lands, wizard and glass, wolves of the calla, song of susannah, the dark tower",stephen king,9738,3914,fantasy,yes,1653,male,4.04,13815580
323,cell,stephen king,187002,449,horror,no,1653,male,4.04,13815580
324,song of susannah,stephen king,126786,544,fantasy,yes,1653,male,4.04,13815580
325,desperation,stephen king,118658,547,horror,no,1653,male,4.04,13815580
326,the outsider,stephen king,168230,561,horror,no,1653,male,4.04,13815580
327,the dark half,stephen king,120696,469,horror,no,1653,male,4.04,13815580
328,rose madder,stephen king,93418,595,horror,no,1653,male,4.04,13815580
329,sleeping beauties,stephen king,58956,702,horror,no,1653,male,4.04,13815580
330,black house,stephen king,53033,688,horror,yes,1653,male,4.04,13815580
331,skeleton crew,stephen king,106790,612,horror,no,1653,male,4.04,13815580
332,'salem's lot,stephen king,93032,594,horror,no,1653,male,4.04,13815580
333,everything's eventual,stephen king,86948,605,horror,no,1653,male,4.04,13815580
334,joyland,stephen king,109545,283,horror,no,1653,male,4.04,13815580
335,night shift,stephen king,143183,409,horror,no,1653,male,4.04,13815580
336,"full dark, no stars",stephen king,88899,368,horror,no,1653,male,4.04,13815580
337,revival,stephen king,95529,405,horror,no,1653,male,4.04,13815580
338,gerald's game,stephen king,129979,332,horror,no,1653,male,4.04,13815580
339,finders keepers,stephen king,105192,434,fiction,yes,1653,male,4.04,13815580
340,the mist,stephen king,110150,230,horror,no,1653,male,4.04,13815580
341,danse macabre,stephen king,24377,400,horror,no,1653,male,4.04,13815580
342,rita hayworth and shawshank redemption: a story from different seasons,stephen king,20778,181,fiction,no,1653,male,4.04,13815580
343,the tommyknockers,stephen king,122491,747,horror,no,1653,male,4.04,13815580
344,the gingerbread girl,stephen king,4708,72,horror,no,1653,male,4.04,13815580
345,the institute,stephen king,105189,561,horror,no,1653,male,4.04,13815580
346,carrie / 'salem's lot / the shining,stephen king,13872,1096,horror,no,1653,male,4.04,13815580
347,"the green mile, part 1: the two dead girls",stephen king,31407,92,horror,yes,1653,male,4.04,13815580
348,darkness,laurann dohner,10256,271,fantasy-paranormal,yes,74,female,4.15,377702
349,ral's woman,laurann dohner,12134,112,science fiction,yes,74,female,4.15,377702
350,his purrfect mate,laurann dohner,9492,150,fantasy-paranormal,yes,74,female,4.15,377702
351,true,laurann dohner,11334,258,fantasy-paranormal,yes,74,female,4.15,377702
352,numbers,laurann dohner,7660,346,fantasy-paranormal,yes,74,female,4.15,377702
353,smiley,laurann dohner,9889,303,fantasy-paranormal,yes,74,female,4.15,377702
354,berrr's vow,laurann dohner,7086,147,science fiction,yes,74,female,4.15,377702
355,burning up flint,laurann dohner,9067,196,science fiction,yes,74,female,4.15,377702
356,tempting rever,laurann dohner,6435,119,romance,yes,74,female,4.15,377702
357,kidnapping casey,laurann dohner,7700,130,science fiction-aliens,yes,74,female,4.15,377702
358,taunting krell,laurann dohner,6223,152,science fiction,yes,74,female,4.15,377702
359,redeeming zorus,laurann dohner,6638,129,science fiction,yes,74,female,4.15,377702
360,stealing coal,laurann dohner,6445,167,science fiction,yes,74,female,4.15,377702
361,touching ice,laurann dohner,6505,141,science fiction,yes,74,female,4.15,377702
362,drantos,laurann dohner,5276,376,fantasy-paranormal,yes,74,female,4.15,377702
363,melting iron,laurann dohner,6376,133,science fiction,yes,74,female,4.15,377702
364,kissing steel,laurann dohner,6999,182,science fiction,yes,74,female,4.15,377702
